product_author,product_imglink,product_name,product_price
Samsung,https://images-na.ssl-images-amazon.com/images/I/41HxEQF35pL._AC_US218_.jpg,"Samsung Chromebook (Wi-Fi, 11.6-Inch) - Silver (Renewed)",89.99
HP,https://images-na.ssl-images-amazon.com/images/I/41ZLGAJEh7L._AC_US218_.jpg,"HP 8300 Elite Small Form Factor Desktop Computer, Intel Core i5-3470 3.2GHz Quad-Core, 8GB RAM, 500GB SATA, Windows 10 Pro 64-Bit, USB 3.0, Display Port (Renewed)",146
Corsair,https://images-na.ssl-images-amazon.com/images/I/41TJNHombxL._AC_US218_.jpg,Corsair Gaming K65 LUX RGB Compact Mechanical Keyboard (Renewed),88
Dell,https://images-na.ssl-images-amazon.com/images/I/41QcydMrxUL._AC_US218_.jpg,"Dell ChromeBook 11 -Intel Celeron 2955U, 4GB Ram, 16GB SSD, WebCam, HDMI, (11.6 HD Screen 1366x768) (Renewed)",$80.99 
Apple,https://images-na.ssl-images-amazon.com/images/I/41qxeSumMkL._AC_US218_.jpg,"Apple iPad Mini 3 MGNR2LL/A VERSION (16GB, Wi-Fi, Space Gray) (Renewed)",149
Acer,https://images-na.ssl-images-amazon.com/images/I/51840t+tcFL._AC_US218_.jpg,"Acer Flagship CB3-532 15.6"" HD Premium Chromebook - Intel Dual-Core Celeron N3060 up to 2.48GH.z, 2GB RAM, 16GB SSD, Wireless AC, HDMI, USB 3.0, Webcam, Chrome OS (Renewed)",119.99
Samsung,https://images-na.ssl-images-amazon.com/images/I/51C-xKGhv-L._AC_US218_.jpg,"Samsung Chromebook 3, 11.6in, 4GB RAM, 16GB eMMC, Chromebook (XE500C13-K04US) (Renewed)",138.99
Apple,https://images-na.ssl-images-amazon.com/images/I/51jcwnXk9nL._AC_US218_.jpg,"Apple MacBook Pro MD101LL/A 13.3-inch Laptop (2.5Ghz, 4GB RAM, 500GB HD) (Renewed)",344.99
Apple,https://images-na.ssl-images-amazon.com/images/I/31I6HT8voHL._AC_US218_.jpg,"Apple MacBook Air MJVM2LL/A 11.6-Inch laptop(1.6 GHz Intel i5, 128 GB SSD, Integrated Intel HD Graphics 6000, Mac OS X Yosemite (Renewed)",357
Apple,https://images-na.ssl-images-amazon.com/images/I/41LWqoFBfgL._AC_US218_.jpg,"Apple iMac 21.5in 2.7GHz Core i5 (ME086LL/A) All In One Desktop, 8GB Memory, 1TB Hard Drive, Mac OS X Mountain Lion (Renewed)",394.97
Acer,https://images-na.ssl-images-amazon.com/images/I/51ZAzS3zfOL._AC_US218_.jpg,"Acer C720p-2625 11.6in Touchscreen ChromeBook Intel Celeron 2955U Dual-core 1.40 GHz 4 GB RAM, 16 GB SSD, Chrome OS (Renewed)",107.95
Apple,https://images-na.ssl-images-amazon.com/images/I/51UpFimmsxL._AC_US218_.jpg,"Apple iPad Mini 2 with Retina Display ME279LL/A (16GB, Wi-Fi, White with Silver) (Renewed)",109.85
Dell,https://images-na.ssl-images-amazon.com/images/I/515uA1og8oL._AC_US218_.jpg,"Dell Optiplex 7010 Business Desktop Computer (Intel Quad Core i5-3470 3.2GHz, 16GB RAM, 2TB HDD, USB 3.0, DVDRW, Windows 10 Professional) (Renewed)",199
HP,https://images-na.ssl-images-amazon.com/images/I/41lnKuMIFzL._AC_US218_.jpg,"HP Elite C2D 3.0ghz, New 4GB Memory, 250GB, Windows 10 Professional (Renewed)",84
HP,https://images-na.ssl-images-amazon.com/images/I/41wOehgwHOL._AC_US218_.jpg,"HP ProDesk 600 G1 SFF Slim Business Desktop Computer, Intel i5-4570 up to 3.60 GHz, 8GB RAM, 500GB HDD, DVD, USB 3.0, Windows 10 Pro 64 Bit (Renewed) (8GB RAM | 500GB HDD)",144.99
HP,https://images-na.ssl-images-amazon.com/images/I/41JHzWBl4HL._AC_US218_.jpg,HP Elitebook 8470p Laptop - Core i5 2.5ghz - 8GB DDR3 - 500GB HDD - DVD - Windows 10 home - (Renewed),239
